manufacturer,model,generation_country,generation_name,generation_url,generation_img_url,generation_date_start,generation_date_end,generation_body,engine_volume,engine_hp,fuel_type,transmission_type,drive,feature
Subaru,Alcyone,Модельный ряд для Японии,2 поколение,https://www.drom.ru/catalog/subaru/alcyone/g_1991_522/,https://s.auto.drom.ru/i24255/c/photos/fullsize/subaru/alcyone/gen473_subaru_alcyone_997757.jpg,1991,1997,Купе,3.3,240,бензин,АКПП,полный привод (4WD),
Subaru,Alcyone,Модельный ряд для Японии,1 поколение,https://www.drom.ru/catalog/subaru/alcyone/g_1985_521/,https://s.auto.drom.ru/i24207/c/photos/fullsize/subaru/alcyone/gen473_subaru_alcyone_700476.jpg,1985,1991,Купе,1.8,120,бензин,МКПП,передний привод,
Subaru,Alcyone,Модельный ряд для Японии,1 поколение,https://www.drom.ru/catalog/subaru/alcyone/g_1985_521/,https://s.auto.drom.ru/i24207/c/photos/fullsize/subaru/alcyone/gen473_subaru_alcyone_700476.jpg,1985,1991,Купе,1.8,120,бензин,МКПП,полный привод (4WD),
Subaru,Alcyone,Модельный ряд для Японии,1 поколение,https://www.drom.ru/catalog/subaru/alcyone/g_1985_521/,https://s.auto.drom.ru/i24207/c/photos/fullsize/subaru/alcyone/gen473_subaru_alcyone_700476.jpg,1985,1991,Купе,1.8,120,бензин,АКПП,передний привод,
Subaru,Alcyone,Модельный ряд для Японии,1 поколение,https://www.drom.ru/catalog/subaru/alcyone/g_1985_521/,https://s.auto.drom.ru/i24207/c/photos/fullsize/subaru/alcyone/gen473_subaru_alcyone_700476.jpg,1985,1991,Купе,1.8,120,бензин,АКПП,полный привод (4WD),
Subaru,Alcyone,Модельный ряд для Японии,1 поколение,https://www.drom.ru/catalog/subaru/alcyone/g_1985_521/,https://s.auto.drom.ru/i24207/c/photos/fullsize/subaru/alcyone/gen473_subaru_alcyone_700476.jpg,1985,1991,Купе,1.8,135,бензин,МКПП,передний привод,
Subaru,Alcyone,Модельный ряд для Японии,1 поколение,https://www.drom.ru/catalog/subaru/alcyone/g_1985_521/,https://s.auto.drom.ru/i24207/c/photos/fullsize/subaru/alcyone/gen473_subaru_alcyone_700476.jpg,1985,1991,Купе,1.8,135,бензин,МКПП,полный привод (4WD),
Subaru,Alcyone,Модельный ряд для Японии,1 поколение,https://www.drom.ru/catalog/subaru/alcyone/g_1985_521/,https://s.auto.drom.ru/i24207/c/photos/fullsize/subaru/alcyone/gen473_subaru_alcyone_700476.jpg,1985,1991,Купе,1.8,135,бензин,АКПП,полный привод (4WD),
Subaru,Alcyone,Модельный ряд для Японии,1 поколение,https://www.drom.ru/catalog/subaru/alcyone/g_1985_521/,https://s.auto.drom.ru/i24207/c/photos/fullsize/subaru/alcyone/gen473_subaru_alcyone_700476.jpg,1985,1991,Купе,2.7,150,бензин,АКПП,полный привод (4WD),
Subaru,Ascent,Модельный ряд для США,"1 поколение, рестайлинг",https://www.drom.ru/catalog/subaru/ascent/g_2022_15636/,https://s.auto.drom.ru/i24270/c/photos/fullsize/subaru/ascent/gen473_subaru_ascent_1077042.jpg,2022,2023,Джип/SUV 5 дв.,2.4,260,бензин,вариатор (CVT),полный привод (4WD),
Subaru,Ascent,Модельный ряд для США,1 поколение,https://www.drom.ru/catalog/subaru/ascent/g_2017_15637/,https://s.auto.drom.ru/i24270/c/photos/fullsize/subaru/ascent/gen473_subaru_ascent_1077049.jpg,2017,2022,Джип/SUV 5 дв.,2.4,260,бензин,вариатор (CVT),полный привод (4WD),
Subaru,B9 Tribeca,Модельный ряд для России,1 поколение,https://www.drom.ru/catalog/subaru/b9_tribeca/g_2004_6857/,https://s.auto.drom.ru/i24200/c/photos/fullsize/subaru/b9_tribeca/gen473_subaru_b9_tribeca_607385.jpg,2004,2008,Джип/SUV 5 дв.,3.0,245,бензин,АКПП,полный привод (4WD),
Subaru,B9 Tribeca,Модельный ряд для США,1 поколение,https://www.drom.ru/catalog/subaru/b9_tribeca/g_2004_976/,https://s.auto.drom.ru/img4/catalog/photos/fullsize/subaru/b9_tribeca/gen473_subaru_b9_tribeca_127988.jpg,2004,2007,Джип/SUV 5 дв.,3.0,250,бензин,АКПП,полный привод (4WD),
Subaru,BRZ,Модельный ряд для России,1 поколение,https://www.drom.ru/catalog/subaru/brz/g_2012_1775/,https://s.auto.drom.ru/img4/catalog/photos/fullsize/subaru/brz/gen473_subaru_brz_127989.jpg,2012,2016,Купе,2.0,200,бензин,МКПП,задний привод,
Subaru,BRZ,Модельный ряд для России,1 поколение,https://www.drom.ru/catalog/subaru/brz/g_2012_1775/,https://s.auto.drom.ru/img4/catalog/photos/fullsize/subaru/brz/gen473_subaru_brz_127989.jpg,2012,2016,Купе,2.0,200,бензин,АКПП,задний привод,
Subaru,BRZ,Модельный ряд для Японии,2 поколение,https://www.drom.ru/catalog/subaru/brz/g_2021_13132/,https://s.auto.drom.ru/i24259/c/photos/fullsize/subaru/brz/gen473_subaru_brz_1024455.jpg,2021,2023,Купе,2.4,235,бензин,МКПП,задний привод,
Subaru,BRZ,Модельный ряд для Японии,2 поколение,https://www.drom.ru/catalog/subaru/brz/g_2021_13132/,https://s.auto.drom.ru/i24259/c/photos/fullsize/subaru/brz/gen473_subaru_brz_1024455.jpg,2021,2023,Купе,2.4,235,бензин,АКПП,задний привод,
Subaru,BRZ,Модельный ряд для Японии,"1 поколение, рестайлинг",https://www.drom.ru/catalog/subaru/brz/g_2016_6533/,https://s.auto.drom.ru/i24199/c/photos/fullsize/subaru/brz/gen473_subaru_brz_580545.jpg,2016,2020,Купе,2.0,200,бензин,АКПП,задний привод,
Subaru,BRZ,Модельный ряд для Японии,"1 поколение, рестайлинг",https://www.drom.ru/catalog/subaru/brz/g_2016_6533/,https://s.auto.drom.ru/i24199/c/photos/fullsize/subaru/brz/gen473_subaru_brz_580545.jpg,2016,2020,Купе,2.0,207,бензин,МКПП,задний привод,
Subaru,BRZ,Модельный ряд для Японии,1 поколение,https://www.drom.ru/catalog/subaru/brz/g_2012_1587/,https://s.auto.drom.ru/img1/catalog/photos/fullsize/subaru/brz/gen473_subaru_brz_28932.jpg,2012,2016,Купе,2.0,200,бензин,МКПП,задний привод,
Subaru,BRZ,Модельный ряд для Японии,1 поколение,https://www.drom.ru/catalog/subaru/brz/g_2012_1587/,https://s.auto.drom.ru/img1/catalog/photos/fullsize/subaru/brz/gen473_subaru_brz_28932.jpg,2012,2016,Купе,2.0,200,бензин,АКПП,задний привод,
Subaru,Chiffon,Модельный ряд для Японии,"2 поколение, рестайлинг",https://www.drom.ru/catalog/subaru/chiffon/g_2022_16446/,https://s.auto.drom.ru/i24274/c/photos/fullsize/subaru/chiffon/gen473_subaru_chiffon_1096107.jpg,2022,2023,Хэтчбек 5 дв.,0.7,52,бензин,вариатор (CVT),передний привод,
Subaru,Chiffon,Модельный ряд для Японии,"2 поколение, рестайлинг",https://www.drom.ru/catalog/subaru/chiffon/g_2022_16446/,https://s.auto.drom.ru/i24274/c/photos/fullsize/subaru/chiffon/gen473_subaru_chiffon_1096107.jpg,2022,2023,Хэтчбек 5 дв.,0.7,52,бензин,вариатор (CVT),полный привод (4WD),
Subaru,Chiffon,Модельный ряд для Японии,"2 поколение, рестайлинг",https://www.drom.ru/catalog/subaru/chiffon/g_2022_16446/,https://s.auto.drom.ru/i24274/c/photos/fullsize/subaru/chiffon/gen473_subaru_chiffon_1096107.jpg,2022,2023,Хэтчбек 5 дв.,0.7,64,бензин,вариатор (CVT),передний привод,
Subaru,Chiffon,Модельный ряд для Японии,"2 поколение, рестайлинг",https://www.drom.ru/catalog/subaru/chiffon/g_2022_16446/,https://s.auto.drom.ru/i24274/c/photos/fullsize/subaru/chiffon/gen473_subaru_chiffon_1096107.jpg,2022,2023,Хэтчбек 5 дв.,0.7,64,бензин,вариатор (CVT),полный привод (4WD),
Subaru,Chiffon,Модельный ряд для Японии,2 поколение,https://www.drom.ru/catalog/subaru/chiffon/g_2019_10117/,https://s.auto.drom.ru/i24274/c/photos/fullsize/subaru/chiffon/gen473_subaru_chiffon_1096067.jpg,2019,2022,Хэтчбек 5 дв.,0.7,52,бензин,вариатор (CVT),передний привод,
Subaru,Chiffon,Модельный ряд для Японии,2 поколение,https://www.drom.ru/catalog/subaru/chiffon/g_2019_10117/,https://s.auto.drom.ru/i24274/c/photos/fullsize/subaru/chiffon/gen473_subaru_chiffon_1096067.jpg,2019,2022,Хэтчбек 5 дв.,0.7,52,бензин,вариатор (CVT),полный привод (4WD),
Subaru,Chiffon,Модельный ряд для Японии,2 поколение,https://www.drom.ru/catalog/subaru/chiffon/g_2019_10117/,https://s.auto.drom.ru/i24274/c/photos/fullsize/subaru/chiffon/gen473_subaru_chiffon_1096067.jpg,2019,2022,Хэтчбек 5 дв.,0.7,64,бензин,вариатор (CVT),передний привод,
Subaru,Chiffon,Модельный ряд для Японии,2 поколение,https://www.drom.ru/catalog/subaru/chiffon/g_2019_10117/,https://s.auto.drom.ru/i24274/c/photos/fullsize/subaru/chiffon/gen473_subaru_chiffon_1096067.jpg,2019,2022,Хэтчбек 5 дв.,0.7,64,бензин,вариатор (CVT),полный привод (4WD),
Subaru,Chiffon,Модельный ряд для Японии,1 поколение,https://www.drom.ru/catalog/subaru/chiffon/g_2016_7409/,https://s.auto.drom.ru/i24274/c/photos/fullsize/subaru/chiffon/gen473_subaru_chiffon_1096078.jpg,2016,2019,Хэтчбек 5 дв.,0.7,52,бензин,вариатор (CVT),передний привод,
Subaru,Chiffon,Модельный ряд для Японии,1 поколение,https://www.drom.ru/catalog/subaru/chiffon/g_2016_7409/,https://s.auto.drom.ru/i24274/c/photos/fullsize/subaru/chiffon/gen473_subaru_chiffon_1096078.jpg,2016,2019,Хэтчбек 5 дв.,0.7,52,бензин,вариатор (CVT),полный привод (4WD),
Subaru,Chiffon,Модельный ряд для Японии,1 поколение,https://www.drom.ru/catalog/subaru/chiffon/g_2016_7409/,https://s.auto.drom.ru/i24274/c/photos/fullsize/subaru/chiffon/gen473_subaru_chiffon_1096078.jpg,2016,2019,Хэтчбек 5 дв.,0.7,64,бензин,вариатор (CVT),передний привод,
Subaru,Chiffon,Модельный ряд для Японии,1 поколение,https://www.drom.ru/catalog/subaru/chiffon/g_2016_7409/,https://s.auto.drom.ru/i24274/c/photos/fullsize/subaru/chiffon/gen473_subaru_chiffon_1096078.jpg,2016,2019,Хэтчбек 5 дв.,0.7,64,бензин,вариатор (CVT),полный привод (4WD),
Subaru,Crosstrek,Модельный ряд для Японии,3 поколение,https://www.drom.ru/catalog/subaru/crosstrek/g_2022_16284/,https://s.auto.drom.ru/i24273/c/photos/fullsize/subaru/crosstrek/gen473_subaru_crosstrek_1091366.jpg,2022,2023,"Джип/SUV 5 дв., Гибрид",2.0,145,бензин,вариатор (CVT),передний привод,гибрид
Subaru,Crosstrek,Модельный ряд для Японии,3 поколение,https://www.drom.ru/catalog/subaru/crosstrek/g_2022_16284/,https://s.auto.drom.ru/i24273/c/photos/fullsize/subaru/crosstrek/gen473_subaru_crosstrek_1091366.jpg,2022,2023,"Джип/SUV 5 дв., Гибрид",2.0,145,бензин,вариатор (CVT),полный привод (4WD),гибрид
Subaru,Crosstrek,Модельный ряд для США,3 поколение,https://www.drom.ru/catalog/subaru/crosstrek/g_2022_16282/,https://s.auto.drom.ru/i24280/c/photos/fullsize/subaru/crosstrek/gen473_subaru_crosstrek_1129592.jpg,2022,2023,"Джип/SUV 5 дв., Гибрид",2.0,150,бензин,вариатор (CVT),полный привод (4WD),гибрид
Subaru,Crosstrek,Модельный ряд для США,3 поколение,https://www.drom.ru/catalog/subaru/crosstrek/g_2022_16282/,https://s.auto.drom.ru/i24280/c/photos/fullsize/subaru/crosstrek/gen473_subaru_crosstrek_1129592.jpg,2022,2023,"Джип/SUV 5 дв., Гибрид",2.5,182,бензин,вариатор (CVT),полный привод (4WD),
